Wavelength,OD,OD,OD,OD,OD,OD,OD,OD,OD,OD
nm,result_Lumilog_STINS_GaN_on_Sapphire,result_InN_InSaN_10nm_barrier_J130828_1_Messy_16,result_InN_InSaN_3nm_barrier_J140228_Messy_12,result_InN_InGaN_10nm_barrier_Sapphire_edge_J130828,result_InN_InGaN_3nm_barrier_Sapphire_edge_J140228,result_B120504_InGaN_T=1.04um,result_B111205_InN_center,result_B111205_InN(1.4um)_STINS_edge,result_B111205_InN(1.4um)_STINS_center,result_B111205_InN(1.4um)_Sapphire_edge
1248.929,0.338564268,0.629459917,0.955398696,0.617134355,0.890147665,0.949967116,2.69480778,2.454144164,2.734741824,1.720728872
1250.928,0.330157198,0.612774022,0.953746165,0.594678657,0.874044443,0.927275297,2.656993654,2.435178367,2.746967915,1.690739456
1252.926,0.32839894,0.608356704,0.935503878,0.590376617,0.871880531,0.92257107,2.754339376,2.443217291,2.826665149,1.684205163
1254.924,0.320429526,0.588113609,0.934171412,0.569510252,0.856825759,0.900333518,2.710979126,2.438347971,2.751584268,1.650075883
1256.921,0.319093033,0.585604493,0.912123391,0.566379204,0.855968815,0.897262882,2.782601391,2.423702691,2.928428554,1.6541145
1258.918,0.312278331,0.564484447,0.909464918,0.547196979,0.839447152,0.875053752,2.638239399,2.391612763,2.825802375,1.618359486
1260.914,0.31122051,0.560940817,0.888884361,0.544780016,0.837583535,0.871694604,2.67144189,2.388064368,2.888457948,1.61816452
1262.91,0.305521938,0.538228486,0.887144762,0.528018025,0.820090279,0.8494921,2.567382713,2.392034555,2.648600228,1.57843352
1264.906,0.305109723,0.534059627,0.867528307,0.525561891,0.816938106,0.846288228,2.631075446,2.400204409,2.645914992,1.578447858
1266.901,0.301628797,0.514745128,0.867827259,0.51341575,0.798123485,0.822250553,2.557530264,2.373525806,2.553094122,1.537630771
1268.895,0.301375296,0.511280976,0.85185044,0.512510941,0.797472186,0.819454416,2.692672231,2.367544643,2.709663451,1.541670761
1270.889,0.299759703,0.496057658,0.851762165,0.505655632,0.781138889,0.797279799,2.719803282,2.349265533,2.771166788,1.519582422
1272.883,0.300258244,0.495716182,0.834452307,0.506735196,0.78028094,0.795148733,2.850178739,2.335691044,2.979588793,1.531350181
1274.876,0.301467471,0.485872085,0.83079147,0.504600646,0.760294222,0.770956883,2.713286457,2.336597884,2.798622268,1.494165117
1276.869,0.302117733,0.485112568,0.817442894,0.505640973,0.755901155,0.765619088,2.642521239,2.343010465,2.694204415,1.480601658
1278.861,0.304923734,0.477737616,0.81599883,0.503804327,0.736297608,0.740198367,2.583633503,2.336013396,2.619837658,1.447611578
1280.853,0.305556964,0.476473632,0.80594073,0.503421219,0.733629988,0.735338946,2.576472814,2.327836362,2.589041675,1.44579183
1282.844,0.310646178,0.474844024,0.805591721,0.502581419,0.716111714,0.710830713,2.571088609,2.309550211,2.583386927,1.419404682
1284.835,0.312087175,0.475438347,0.797378821,0.503225269,0.713265874,0.706431354,2.621026777,2.309700203,2.603149613,1.416598354
1286.825,0.31836914,0.476359929,0.797766972,0.501446899,0.697437102,0.681826478,2.56790756,2.292197232,2.565873781,1.388337281
1288.815,0.319732425,0.477356333,0.792027532,0.501502337,0.695901222,0.67708901,2.614252951,2.299582438,2.62242848,1.386824336
1290.804,0.327030112,0.477536879,0.790753049,0.4967585,0.683822005,0.652484944,2.553155485,2.266005773,2.544591411,1.361359337
